x_fit_1,y_fit_1,x_fit_2,y_fit_2,x_fit_3,y_fit_3,x_fit_4,y_fit_4,x_fit_5,y_fit_5,x_fit_6,y_fit_6,x_fit_7,y_fit_7,x_fit_8,y_fit_8,x_fit_9,y_fit_9,x_fit_10,y_fit_10
40.0,-0.006560824517722468,40.0,-0.009974343442414354,40.0,8.018904812348827e-05,40.0,0.0019245498055811307,40.0,0.006679680746843661,40.0,0.010891051046938396,40.0,0.06866645784914023,40.0,0.011505927419757768,40.0,-0.024617505060496352,40.0,0.01377961302347557
40.120240480961925,-0.006560506884745807,40.120240480961925,-0.00997167319353118,40.120240480961925,8.045194615294903e-05,40.120240480961925,0.001926509707536251,40.120240480961925,0.00668066223799931,40.120240480961925,0.010893452898522052,40.120240480961925,0.06868237161867892,40.120240480961925,0.011510258104463279,40.120240480961925,-0.02451192643011373,40.120240480961925,0.013779830144421398
40.24048096192385,-0.00656017492140244,40.24048096192385,-0.00996889639611958,40.24048096192385,8.072971476453945e-05,40.24048096192385,0.0019285576104725792,40.24048096192385,0.006681685722979952,40.24048096192385,0.010895976855139503,40.24048096192385,0.06869898905587953,40.24048096192385,0.011514790622896223,40.24048096192385,-0.024404358233213855,40.24048096192385,0.013780057865462592
40.36072144288577,-0.006559827981172375,40.36072144288577,-0.009966008799321817,40.36072144288577,8.102319508988392e-05,40.36072144288577,0.0019306974653121247,40.36072144288577,0.00668275299843099,40.36072144288577,0.010898629123681896,40.36072144288577,0.06871634124855323,40.36072144288577,0.011519534379643506,40.36072144288577,-0.024294763422993748,40.36072144288577,0.013780296704102829
40.480961923847694,-0.006559465388368593,40.480961923847694,-0.009963005982741104,40.480961923847694,8.133327583687748e-05,40.480961923847694,0.0019329334003235618,40.480961923847694,0.0066838659378567235,40.480961923847694,0.010901416226481714,40.480961923847694,0.06873446065555207,40.480961923847694,0.0115244992173171,40.480961923847694,-0.024183104279855674,40.480961923847694,0.013780547203110139
40.60120240480962,-0.0065590864368213,40.60120240480962,-0.009959883349684095,40.60120240480962,8.166089598058335e-05,40.60120240480962,0.001935269729079624,40.60120240480962,0.006685026494907603,40.60120240480962,0.010904345017336583,40.60120240480962,0.06875338116701696,40.60120240480962,0.01152969543693738,40.60120240480962,-0.024069342399842375,40.60120240480962,0.013780809931750241
40.721442885771545,-0.00655869038850283,40.721442885771545,-0.009956636120134425,40.721442885771545,8.20070476063126e-05,40.721442885771545,0.0019377109587712421,40.721442885771545,0.0066862367068080235,40.721442885771545,0.010907422698346304,40.721442885771545,0.06877313816725365,40.721442885771545,0.011535133819263296,40.721442885771545,-0.02395343868289873,40.721442885771545,0.013781085487080104
40.84168336673347,-0.006558276472090534,40.84168336673347,-0.009953259323446548,40.84168336673347,8.237277891349092e-05,40.84168336673347,0.0019402617988943916,40.84168336673347,0.006687498697930653,40.84168336673347,0.010910656837604312,40.84168336673347,0.06879376860034916,40.84168336673347,0.011540825647113158,40.84168336673347,-0.023835353320958458,40.84168336673347,0.013781374495304623
40.96192384769539,-0.006557843881464838,40.96192384769539,-0.009949747790748842,40.96192384769539,8.275919738940349e-05,40.96192384769539,0.0019429271703263298,40.96192384769539,0.00668881468352356,40.96192384769539,0.010914055387786784,40.96192384769539,0.0688153110386464,40.96192384769539,0.011546782728721904,40.96192384769539,-0.023715045785854264,40.96192384769539,0.013781677613199546
41.08216432865731,-0.006557391774139568,41.08216432865731,-0.009946096147044368,41.08216432865731,8.316747316242334e-05,41.08216432865731,0.0019457122148086427,41.08216432865731,0.006690186973596658,41.08216432865731,0.010917626705684915,41.08216432865731,0.06883780575419927,41.08216432865731,0.011553017422182751,41.08216432865731,-0.023592474817049867,41.08216432865731,0.01378199552960383
41.20240480961924,-0.006556919269621478,41.20240480961924,-0.009942298802997374,41.20240480961924,8.35988425448711e-05,41.20240480961924,0.0019486223048553002,41.20240480961924,0.0066916179769742805,41.20240480961924,0.010921379572728061,41.20240480961924,0.06886129479333568,41.20240480961924,0.011559542661023364,41.20240480961924,-0.023467598409192554,41.20240480961924,0.013782328966984867
41.322645290581164,-0.006556425447695792,41.322645290581164,-0.009938349946392996,41.322645290581164,8.405461177622727e-05,41.322645290581164,0.0019516630541047285,41.322645290581164,0.006693110205520972,41.322645290581164,0.010925323216547909,41.322645290581164,0.0688858220544611,41.322645290581164,0.011566371980968989,41.322645290581164,-0.02334037379948466,41.322645290581164,0.01378267868308009
41.44288577154309,-0.0065559093466344125,41.44288577154309,-0.009934243533257255,41.44288577154309,8.453616097802486e-05,41.44288577154309,0.0019548403281357558,41.44288577154309,0.006694666278547897,41.44288577154309,0.010929467333636355,41.44288577154309,0.06891143336924074,41.44288577154309,0.011573519547947348,41.44288577154309,-0.02321075745487267,41.44288577154309,0.013783045472618717
41.56312625250501,-0.006555369961323332,41.56312625250501,-0.009929973278623858,41.56312625250501,8.504494833238946e-05,41.56312625250501,0.001958160255768173,41.56312625250501,0.006696288927407566,41.56312625250501,0.010933822113152424,41.56312625250501,0.06893817658730408,41.56312625250501,0.011581000187392651,41.56312625250501,-0.02307870505905262,41.56312625250501,0.01378343016912753
41.68336673346693,-0.0065548062413055865,41.68336673346693,-0.009925532646933815,41.68336673346693,8.55825144968704e-05,41.68336673346693,0.0019616292408695672,41.68336673346693,0.006697981000284941,41.68336673346693,0.010938398261936327,41.68336673346693,0.06896610166462136,41.68336673346693,0.011588829414908675,41.68336673346693,-0.02294417149929038,41.68336673346693,0.013783833646824797
