        0.0000  -0.866726   0.304539  -0.562187 
     2100.0000  -0.773231   0.323720  -0.449511 
     4200.0000  -0.722316   0.325059  -0.397257 
     6300.0000  -0.774189   0.305512  -0.468677 
     8400.0000  -0.710937   0.340239  -0.370698 
    10500.0000  -0.738194   0.337519  -0.400675 
    12600.0000  -0.543076   0.378339  -0.164737 
    14700.0000  -0.622513   0.318532  -0.303981 
    16800.0000  -0.639932   0.312761  -0.327171 
    18900.0000  -0.511809   0.296167  -0.215642 
    21000.0000  -0.590011   0.298525  -0.291486 
