x_fit_1,y_fit_1,x_fit_2,y_fit_2
40.0,0.0029519419013411385,40.0,0.00587915246145847
40.07615230460922,0.0029519630736101928,40.07615230460922,0.005879177471865512
40.15230460921844,0.0029519850333590025,40.15230460921844,0.00587920358185405
40.22845691382766,0.0029520078098769936,40.22845691382766,0.0058792308397670745
40.30460921843687,0.002952031433542978,40.30460921843687,0.00587925929607297
40.38076152304609,0.0029520559358656696,40.38076152304609,0.005879289003458951
40.45691382765531,0.00295208134952571,40.45691382765531,0.005879320016928612
40.53306613226453,0.002952107708419259,40.53306613226453,0.005879352393903768
40.609218436873746,0.002952135047703199,40.609218436873746,0.00587938619433077
40.68537074148296,0.002952163403842031,40.68537074148296,0.005879421480791493
40.76152304609219,0.0029521928146565065,40.76152304609219,0.005879458318619209
40.8376753507014,0.0029522233193740722,40.8376753507014,0.005879496776019548
40.91382765531062,0.0029522549586811896,40.91382765531062,0.005879536924196778
40.98997995991984,0.002952287774777601,40.98997995991984,0.0058795788374856415
41.06613226452906,0.002952321811432614,41.06613226452906,0.005879622593488985
41.142284569138276,0.0029523571140434783,41.142284569138276,0.0058796682732214335
41.21843687374749,0.002952393729695935,41.21843687374749,0.005879715961259394
41.294589178356716,0.0029524317072270167,41.294589178356716,0.005879765745897643
41.37074148296593,0.002952471097290185,41.37074148296593,0.0058798177193128
41.44689378757515,0.0029525119524228885,41.44689378757515,0.005879871977733994
41.523046092184366,0.0029525543271166355,41.523046092184366,0.005879928621621025
41.59919839679359,0.002952598277889671,41.59919839679359,0.005879987755850362
41.675350701402806,0.002952643863362359,41.675350701402806,0.005880049489909321
41.75150300601202,0.002952691144335365,41.75150300601202,0.005880113938098771
41.82765531062124,0.002952740183870752,41.82765531062124,0.005880181219744763
41.90380761523046,0.002952791047376085,41.90380761523046,0.005880251459419452
41.97995991983968,0.00295284380269167,41.97995991983968,0.0058803247871717385
42.056112224448896,0.0029528985201810365,42.056112224448896,0.005880401338768046
42.13226452905812,0.0029529552728247807,42.13226452905812,0.005880481255943686
42.208416833667336,0.0029530141363179048,42.208416833667336,0.005880564686665275
42.28456913827655,0.0029530751891707735,42.28456913827655,0.005880651785404676
42.36072144288577,0.002953138512813826,42.36072144288577,0.005880742713425008
42.43687374749499,0.0029532041917061814,42.43687374749499,0.005880837639079199
42.51302605210421,0.0029532723134482854,42.51302605210421,0.005880936738121689
42.589178356713425,0.002953342968898745,42.589178356713425,0.005881040194033819
42.66533066132264,0.002953416252295508,42.66533066132264,0.005881148198363538
42.741482965931866,0.002953492261381553,42.741482965931866,0.005881260951080032
42.81763527054108,0.0029535710975352463,42.81763527054108,0.005881378660943951
42.8937875751503,0.0029536528659055575,42.8937875751503,0.005881501545893909
42.96993987975952,0.0029537376755522956,42.96993987975952,0.005881629833449978
43.04609218436874,0.0029538256395915626,43.04609218436874,0.00588176376113491
43.122244488977955,0.0029539168753466203,43.122244488977955,0.005881903576913894
43.19839679358717,0.0029540115045043635,43.19839679358717,0.005882049539653624
43.274549098196395,0.0029541096532776146,43.274549098196395,0.005882201919601567
43.35070140280561,0.0029542114525734544,43.35070140280561,0.005882360998886285
43.42685370741483,0.002954317038167813,43.42685370741483,0.005882527072039761
43.503006012024045,0.002954426550886553,43.503006012024045,0.005882700446542681
43.57915831663327,0.0029545401367932884,43.57915831663327,0.005882881443393689
43.655310621242485,0.0029546579473841883,43.655310621242485,0.005883070397703667
43.7314629258517,0.002954780139790025,43.7314629258517,0.00588326765931613
43.807615230460925,0.002954906876985737,43.807615230460925,0.005883473593454908
43.88376753507014,0.0029550383280077847,43.88376753507014,0.00588368858140029
43.95991983967936,0.0029551746681795907,43.95991983967936,0.005883913021194885
44.036072144288575,0.002955316079345363,44.036072144288575,0.005884147328380527
44.1122244488978,0.002955462750112617,44.1122244488978,0.005884391936767555
44.188376753507015,0.0029556148761037096,44.188376753507015,0.0058846472992379216
44.26452905811623,0.0029557726602167382,44.26452905811623,0.005884913888583597
44.34068136272545,0.0029559363128961323,44.34068136272545,0.005885192198381829
44.41683366733467,0.0029561060524133146,44.41683366733467,0.005885482743908878
44.49298597194389,0.0029562821051577967,44.49298597194389,0.005885786063093908
44.569138276553105,0.002956464705939102,44.569138276553105,0.005886102717514819
44.64529058116233,0.002956654098299914,44.64529058116233,0.00588643329343784
44.721442885771545,0.002956850534840874,44.721442885771545,0.005886778402902823
44.79759519038076,0.0029570542775574507,44.79759519038076,0.005887138684856238
44.87374749498998,0.002957265598189347,44.87374749498998,0.005887514806333971
44.9498997995992,0.0029574847785828924,44.9498997995992,0.005887907463696102
45.02605210420842,0.002957712111066913,45.02605210420842,0.0058883173839159655
45.102204408817634,0.0029579478988425822,45.102204408817634,0.005888745325925858
45.17835671342685,0.0029581924563877675,45.17835671342685,0.005889192082021899
45.254509018036075,0.002958446109876411,45.254509018036075,0.0058896584793306315
45.33066132264529,0.0029587091976135075,45.33066132264529,0.005890145381340086
45.40681362725451,0.0029589820704862594,45.40681362725451,0.005890653689498127
45.48296593186373,0.0029592650924320034,45.48296593186373,0.005891184344881057
45.55911823647295,0.00295955864092354,45.55911823647295,0.005891738329935537
45.635270541082164,0.002959863107472512,45.635270541082164,0.005892316670297076
45.71142284569138,0.002960178898151496,45.71142284569138,0.00589292043668843
45.787575150300604,0.002960506434135513,45.787575150300604,0.005893550746901424
45.86372745490982,0.00296084615226367,45.86372745490982,0.005894208767865878
45.93987975951904,0.0029611985056216886,45.93987975951904,0.00589489571780944
46.016032064128254,0.0029615639641460915,46.016032064128254,0.005895612868512334
